id,borrower,lender,promised_family,promised_amount,stake,due_step,fulfilled
CR_87_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,92,True
CR_87_A031,A031,A014,truth_audit,3.8500000000000005,3.5,92,True
CR_88_A008,A008,A014,truth_audit,3.8500000000000005,3.5,93,True
CR_88_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,93,True
CR_88_A039,A039,A014,education,3.8500000000000005,3.5,93,True
CR_88_A042,A042,A014,insurance_underwrite,3.8500000000000005,3.5,93,True
CR_89_A008,A008,A014,truth_audit,3.8500000000000005,3.5,94,True
CR_89_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,94,True
CR_89_A029,A029,A014,fair_exchange,3.8500000000000005,3.5,94,True
CR_89_A039,A039,A014,education,3.8500000000000005,3.5,94,True
CR_90_A008,A008,A014,truth_audit,3.8500000000000005,3.5,95,True
CR_90_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,95,True
CR_91_A017,A017,A014,repair_harm,3.8500000000000005,3.5,96,True
CR_91_A034,A034,A014,restore_agency,3.8500000000000005,3.5,96,True
CR_92_A016,A016,A014,truth_audit,3.8500000000000005,3.5,97,True
CR_92_A021,A021,A014,education,3.8500000000000005,3.5,97,True
CR_92_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,97,True
CR_92_A042,A042,A014,insurance_underwrite,3.8500000000000005,3.5,97,True
CR_93_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,98,True
CR_93_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,98,True
CR_93_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.5,98,True
CR_93_A031,A031,A014,truth_audit,3.8500000000000005,3.5,98,True
CR_94_A008,A008,A014,truth_audit,3.8500000000000005,3.5,99,True
CR_94_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,99,True
CR_94_A039,A039,A014,education,3.8500000000000005,3.5,99,True
CR_94_A042,A042,A014,insurance_underwrite,3.8500000000000005,3.5,99,True
CR_95_A008,A008,A014,truth_audit,3.8500000000000005,3.5,100,True
CR_95_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,100,True
CR_95_A029,A029,A014,fair_exchange,3.8500000000000005,3.5,100,True
CR_95_A039,A039,A014,education,3.8500000000000005,3.5,100,True
CR_96_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,101,True
CR_96_A008,A008,A014,truth_audit,3.8500000000000005,3.5,101,True
CR_96_A017,A017,A014,repair_harm,3.8500000000000005,3.5,101,True
CR_96_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,3.2740466524683276,101,True
CR_97_A017,A017,A014,repair_harm,3.8500000000000005,3.5,102,True
CR_97_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,102,True
CR_97_A034,A034,A014,restore_agency,3.8500000000000005,3.5,102,True
CR_97_A042,A042,A014,insurance_underwrite,3.8500000000000005,3.5,102,True
CR_98_A008,A008,A014,truth_audit,3.8500000000000005,3.5,103,True
CR_98_A016,A016,A014,truth_audit,3.8500000000000005,3.5,103,True
CR_98_A021,A021,A014,education,3.8500000000000005,3.5,103,True
CR_98_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,103,True
CR_99_A001,A001,A014,infrastructure_maintenance,3.8500000000000005,3.5,104,True
CR_99_A003,A003,A014,insurance_underwrite,3.8500000000000005,3.5,104,True
CR_99_A008,A008,A014,truth_audit,3.8500000000000005,3.5,104,True
CR_99_A015,A015,A014,insurance_underwrite,3.8500000000000005,3.5,104,True
CR_100_A008,A008,A014,truth_audit,3.8500000000000005,3.5,105,True
CR_100_A015,A015,A014,insurance_underwrite,3.8500000000000005,3.5,105,True
CR_100_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,1.1740466524683275,105,True
CR_100_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,105,True
CR_101_A008,A008,A014,truth_audit,3.8500000000000005,3.5,106,True
CR_101_A026,A026,A014,insurance_underwrite,3.8500000000000005,3.5,106,True
CR_101_A029,A029,A014,fair_exchange,3.8500000000000005,3.5,106,True
CR_101_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,106,True
CR_102_A004,A004,A014,fair_exchange,3.8500000000000005,3.5,107,True
CR_102_A008,A008,A014,truth_audit,3.8500000000000005,3.5,107,True
CR_102_A017,A017,A014,repair_harm,3.8500000000000005,3.5,107,True
CR_102_A027,A027,A014,voluntary_behavior_contract,3.8500000000000005,0.0,107,True
CR_103_A017,A017,A014,repair_harm,3.8500000000000005,3.5,108,True
CR_103_A030,A030,A014,interregional_bridge,3.8500000000000005,3.5,108,True
CR_103_A031,A031,A014,truth_audit,3.8500000000000005,3.5,108,True
