id,category,source,target,name,kind,fiat_value,truth_score
mor_3febf3f6d7,𝓣 Truth,commercialbank_12eb7545f9,mediacompany_ab3a187961,audit,audit,0.0,13.31697673899754
mor_4fb6694728,𝓣 Truth,investmentbank_78bea85766,researchcompany_2204f741cb,audit,audit,0.0,10.417027325667796
mor_df315eace8,𝓣 Truth,centralbank_daf7e60705,civiliancompany_61722ade62,audit,audit,0.0,12.059373567500431
mor_9ac4f1060e,𝓣 Truth,country_57c0c633fd,mediacompany_ab3a187961,audit,audit,0.0,13.335200647625218
mor_e0d5267ccc,𝓣 Truth,centralbank_7362acc372,strategiccompany_2301e228a4,audit,audit,0.0,10.93045306878702
mor_72d63fdb6a,𝓣 Truth,maritimesecurityleague_5d151daa96,mediacompany_8cbe79e001,audit,audit,0.0,10.343272522379383
mor_585e76d1c9,𝓣 Truth,commercialbank_21b7a306e9,mediacompany_7eef8ee6fc,audit,audit,0.0,15.700508947914585
mor_1a143c6568,𝓣 Truth,mediacompany_8cbe79e001,household_2110299d5c,F(purchase/law),purchase,192342.61817828362,37.119859767825034
mor_d773bb4250,𝓣 Truth,industrialcompany_f013da2dd3,researchcompany_48fb06cd6b,F(purchase/insurance),purchase,60034.6453928911,32.88126935361907
mor_a19c44e720,𝓣 Truth,mediacompany_2cb705f3f4,industrialcompany_a4c745519b,F(purchase/insurance),purchase,76973.84327246269,32.93433694331581
mor_3764e9b52b,𝓣 Truth,strategiccompany_c9334d528e,strategiccompany_6e611815a5,F(purchase/space),purchase,10778.575335293335,32.89373000587775
mor_807109fdc9,𝓣 Truth,researchcompany_f4de8c9e09,industrialcompany_7cfbe6b7e8,F(purchase/education),purchase,4281.059567146785,26.882610484827737
mor_1db822899d,𝓣 Truth,mediacompany_cd4596d788,household_d0e4d3caa0,F(purchase/health),purchase,28824.133686276167,32.1417782083702
mor_d80dde1dd0,𝓣 Truth,civiliancompany_8cdd2f3ec7,mediacompany_5ef862a9f2,F(purchase/luxury),purchase,9817.812496865708,22.003580677593295
mor_6e19c0b5c1,𝓣 Truth,strategiccompany_19901bf173,strategiccompany_6d22701402,F(purchase/space),purchase,8009.856712656114,28.580271348155982
mor_781ec4edf0,𝓣 Truth,mediacompany_f8e14ee9a7,country_6263a1fe41,F(purchase/tourism),purchase,3812.1595481279005,18.23777665856103
