id,name,country,currency,sector,employees,price,inventory,monthly_revenue,monthly_cost,cumulative_profit,fiat_debt,productivity,product_quality,reputation,risk,fraud_tendency,truth_score,truth_positive,truth_debt,top_truth_layers
agent_a6ddf07a00,Nova Health 33,Damaria,DAM,health,102.46,1662.7006,1907.6989,346.2094,343.2557,313602.0772,581.6415,0.815787,0.602588,0.853835,0.284233,0.014298,103.4557,104.3397,0.884,"{causal=+28.55, existence=+17.81, legal=+12.63, temporal=+8.98, social=+7.80, attention=+5.17, health=+5.09, potential=+2.23, ...}"
agent_12954e95d8,Prism Expeditions 34,Borealgrad,BOR,tourism,393.81,1864.3247,14489.582,1686.6439,2238.3068,186032.7336,319.0965,0.905833,0.820436,0.99,0.404754,0.040751,235.7207,239.1295,3.4088,"{causal=+82.06, legal=+35.16, temporal=+31.50, social=+21.04, existence=+18.80, attention=+18.28, memory=+4.70, potential=+2.27, ...}"
agent_870207c80f,Green Seed 35,Borealgrad,BOR,agriculture,44.24,679.0836,3683.9483,0.0,104.6665,-21646.9469,1609.2725,0.637597,0.715936,0.831438,0.638509,0.004071,91.9064,99.4325,7.5261,"{causal=+31.36, existence=+18.60, legal=+7.70, liquidity=-7.53, social=+6.57, potential=+6.31, temporal=+5.73, epistemic=+5.52, ...}"
agent_0572e04676,Blue Ledger 36,Eldorland,ELD,finance,444.67,752.4439,44202.5237,0.0,2545.1076,-231295.4513,31420.6258,1.063882,0.401951,0.490558,0.827889,0.089652,-502.1259,262.8423,764.9683,"{legal=-320.76, temporal=-251.53, causal=+164.89, liquidity=-133.24, social=-36.69, attention=+25.65, existence=+19.90, potential=+1.11}"
agent_c8e824e0db,Signal Ledger 37,Galenheim,GAL,finance,152.74,894.8202,7238.6238,2965.8593,724.7363,72132.0782,230.4391,1.289041,0.795652,0.944423,0.547966,0.018747,141.7581,141.7581,0.0,"{causal=+45.42, legal=+21.23, existence=+17.68, temporal=+14.39, social=+12.25, attention=+7.84, liquidity=+4.91, potential=+2.20}"
agent_9e9a39ee52,Cobalt Media 38,Eldorland,ELD,media,110.62,359.2223,2438.5921,1199.7418,316.8449,86850.9574,146.2401,1.085751,0.421976,0.594082,0.369077,0.088474,87.9203,88.3706,0.4503,"{causal=+29.20, existence=+14.68, legal=+11.08, temporal=+8.99, social=+7.37, attention=+5.46, potential=+1.17, liquidity=-0.45, ...}"
agent_d628aa0016,Vertex Health 39,Lumerterra,LUM,health,76.82,2110.9367,3367.6478,0.0,362.7108,249808.5202,626.86,0.999263,0.613969,0.985689,0.300608,0.029215,93.6906,95.2365,1.5459,"{causal=+25.81, existence=+17.15, legal=+11.04, social=+7.14, temporal=+7.11, health=+5.22, attention=+4.03, potential=+2.23, ...}"
agent_ab3e866600,Argent Broadcast 40,Borealgrad,BOR,media,569.54,791.2774,33694.0581,220.9935,3277.2021,-28176.5455,7836.6073,1.133638,0.875497,0.99,0.509865,0.061264,412.343,415.3667,3.0237,"{causal=+158.22, legal=+60.18, temporal=+51.51, social=+40.92, attention=+31.28, existence=+17.90, epistemic=+3.46, liquidity=-3.02, ...}"
agent_8b550246e4,Iron Culture 41,Borealgrad,BOR,entertainment,301.51,418.3578,1957.2083,2955.8719,624.7128,250504.0623,160.1803,0.83177,0.70952,0.99,0.406843,0.038353,151.7186,152.2097,0.4911,"{causal=+46.79, legal=+20.45, temporal=+19.48, existence=+16.06, social=+15.06, attention=+13.19, memory=+7.56, potential=+1.96, ...}"
agent_11c32bd9a8,Pioneer Mining 42,Galenheim,GAL,mining,65.44,688.2679,7367.2103,0.0,1966.0562,-171340.9608,58785.8252,0.889038,0.508106,0.67652,0.568464,0.064795,-625.8807,77.2155,703.0962,"{temporal=-318.07, legal=-248.45, liquidity=-81.91, social=-58.54, causal=+38.50, existence=+19.68, attention=+4.04, potential=+1.40}"
